b_id,b_ts,pickup_datetime_same_time,pickup_datetime_1min,which_week,dist_bin,rides_per_minute,sequence,which_week_dummy,before_after_rain_dummy,within_two_hours_dummy
0,2010-01-17 11:51:00,2010-01-17 05:51:00,2010-01-10 05:51:00,Week before,27.0,31,10,0,0,0
0,2010-01-17 11:51:00,2010-01-17 05:51:00,2010-01-17 05:51:00,Current week,59.5,40,28,7,0,0
0,2010-01-17 11:51:00,2010-01-17 05:51:00,2010-01-24 05:51:00,Week after,31.25,49,28,0,7,0
0,2010-01-17 11:51:00,2010-01-17 05:52:00,2010-01-10 05:52:00,Week before,63.0,55,56,0,0,0
0,2010-01-17 11:51:00,2010-01-17 05:52:00,2010-01-17 05:52:00,Current week,63.5,73,92,8,0,0
0,2010-01-17 11:51:00,2010-01-17 05:52:00,2010-01-24 05:52:00,Week after,31.5,87,77,0,7,0
0,2010-01-17 11:51:00,2010-01-17 05:53:00,2010-01-10 05:53:00,Week before,63.75,63,124,0,0,0
0,2010-01-17 11:51:00,2010-01-17 05:53:00,2010-01-17 05:53:00,Current week,63.75,70,180,9,0,0
0,2010-01-17 11:51:00,2010-01-17 05:53:00,2010-01-24 05:53:00,Week after,63.75,74,171,0,9,0
0,2010-01-17 11:51:00,2010-01-17 05:54:00,2010-01-10 05:54:00,Week before,63.5,63,188,0,0,0
0,2010-01-17 11:51:00,2010-01-17 05:54:00,2010-01-17 05:54:00,Current week,63.5,60,196,7,0,0
0,2010-01-17 11:51:00,2010-01-17 05:54:00,2010-01-24 05:54:00,Week after,63.75,61,220,0,8,0
0,2010-01-17 11:51:00,2010-01-17 05:55:00,2010-01-10 05:55:00,Week before,63.75,71,288,0,0,0
0,2010-01-17 11:51:00,2010-01-17 05:55:00,2010-01-17 05:55:00,Current week,63.5,73,284,8,0,0
0,2010-01-17 11:51:00,2010-01-17 05:55:00,2010-01-24 05:55:00,Week after,63.5,59,284,0,8,0
0,2010-01-17 11:51:00,2010-01-17 05:56:00,2010-01-10 05:56:00,Week before,63.75,66,324,0,0,0
0,2010-01-17 11:51:00,2010-01-17 05:56:00,2010-01-17 05:56:00,Current week,63.75,65,396,9,0,0
0,2010-01-17 11:51:00,2010-01-17 05:56:00,2010-01-24 05:56:00,Week after,63.75,74,396,0,9,0
0,2010-01-17 11:51:00,2010-01-17 05:57:00,2010-01-10 05:57:00,Week before,63.5,72,388,0,0,0
0,2010-01-17 11:51:00,2010-01-17 05:57:00,2010-01-17 05:57:00,Current week,63.5,65,364,7,0,0
0,2010-01-17 11:51:00,2010-01-17 05:57:00,2010-01-24 05:57:00,Week after,63.75,69,420,0,8,0
0,2010-01-17 11:51:00,2010-01-17 05:58:00,2010-01-10 05:58:00,Week before,63.5,67,452,0,0,0
0,2010-01-17 11:51:00,2010-01-17 05:58:00,2010-01-17 05:58:00,Current week,63.5,63,476,8,0,0
0,2010-01-17 11:51:00,2010-01-17 05:58:00,2010-01-24 05:58:00,Week after,63.5,58,420,0,7,0
0,2010-01-17 11:51:00,2010-01-17 05:59:00,2010-01-10 05:59:00,Week before,63.75,58,585,0,0,0
0,2010-01-17 11:51:00,2010-01-17 05:59:00,2010-01-17 05:59:00,Current week,63.75,68,612,9,0,0
0,2010-01-17 11:51:00,2010-01-17 05:59:00,2010-01-24 05:59:00,Week after,63.75,82,612,0,9,0
0,2010-01-17 11:51:00,2010-01-17 06:00:00,2010-01-10 06:00:00,Week before,63.25,50,588,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:00:00,2010-01-17 06:00:00,Current week,63.75,67,612,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:00:00,2010-01-24 06:00:00,Week after,63.75,65,693,0,9,0
0,2010-01-17 11:51:00,2010-01-17 06:01:00,2010-01-10 06:01:00,Week before,96.5,63,738,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:01:00,2010-01-17 06:01:00,Current week,63.75,61,676,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:01:00,2010-01-24 06:01:00,Week after,63.5,63,684,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:02:00,2010-01-10 06:02:00,Week before,63.5,65,630,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:02:00,2010-01-17 06:02:00,Current week,63.75,56,740,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:02:00,2010-01-24 06:02:00,Week after,63.5,60,748,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:03:00,2010-01-10 06:03:00,Week before,63.75,57,780,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:03:00,2010-01-17 06:03:00,Current week,63.75,63,909,9,0,0
0,2010-01-17 11:51:00,2010-01-17 06:03:00,2010-01-24 06:03:00,Week after,63.5,60,812,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:04:00,2010-01-10 06:04:00,Week before,63.5,69,844,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:04:00,2010-01-17 06:04:00,Current week,31.5,45,651,6,0,0
0,2010-01-17 11:51:00,2010-01-17 06:04:00,2010-01-24 06:04:00,Week after,63.75,64,990,0,9,0
0,2010-01-17 11:51:00,2010-01-17 06:05:00,2010-01-10 06:05:00,Week before,63.75,72,1026,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:05:00,2010-01-17 06:05:00,Current week,63.5,70,924,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:05:00,2010-01-24 06:05:00,Week after,63.5,75,948,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:06:00,2010-01-10 06:06:00,Week before,63.5,72,980,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:06:00,2010-01-17 06:06:00,Current week,31.5,57,861,7,0,0
0,2010-01-17 11:51:00,2010-01-17 06:06:00,2010-01-24 06:06:00,Week after,63.5,70,1012,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:07:00,2010-01-10 06:07:00,Week before,63.75,55,1044,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:07:00,2010-01-17 06:07:00,Current week,63.75,67,1179,9,0,0
0,2010-01-17 11:51:00,2010-01-17 06:07:00,2010-01-24 06:07:00,Week after,63.75,76,1215,0,9,0
0,2010-01-17 11:51:00,2010-01-17 06:08:00,2010-01-10 06:08:00,Week before,63.75,63,1251,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:08:00,2010-01-17 06:08:00,Current week,63.75,65,1260,9,0,0
0,2010-01-17 11:51:00,2010-01-17 06:08:00,2010-01-24 06:08:00,Week after,63.5,57,1148,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:09:00,2010-01-10 06:09:00,Week before,63.75,59,1332,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:09:00,2010-01-17 06:09:00,Current week,63.75,71,1341,9,0,0
0,2010-01-17 11:51:00,2010-01-17 06:09:00,2010-01-24 06:09:00,Week after,63.25,59,1212,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:10:00,2010-01-10 06:10:00,Week before,63.75,54,1413,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:10:00,2010-01-17 06:10:00,Current week,63.5,60,1099,7,0,0
0,2010-01-17 11:51:00,2010-01-17 06:10:00,2010-01-24 06:10:00,Week after,63.75,69,1276,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:11:00,2010-01-10 06:11:00,Week before,63.75,53,1324,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:11:00,2010-01-17 06:11:00,Current week,63.5,56,1148,7,0,0
0,2010-01-17 11:51:00,2010-01-17 06:11:00,2010-01-24 06:11:00,Week after,63.75,77,1512,0,9,0
0,2010-01-17 11:51:00,2010-01-17 06:12:00,2010-01-10 06:12:00,Week before,63.75,61,1566,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:12:00,2010-01-17 06:12:00,Current week,63.5,63,1372,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:12:00,2010-01-24 06:12:00,Week after,63.75,64,1593,0,9,0
0,2010-01-17 11:51:00,2010-01-17 06:13:00,2010-01-10 06:13:00,Week before,63.25,60,1274,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:13:00,2010-01-17 06:13:00,Current week,63.75,81,1620,9,0,0
0,2010-01-17 11:51:00,2010-01-17 06:13:00,2010-01-24 06:13:00,Week after,63.75,63,1674,0,9,0
0,2010-01-17 11:51:00,2010-01-17 06:14:00,2010-01-10 06:14:00,Week before,63.5,78,1516,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:14:00,2010-01-17 06:14:00,Current week,63.75,55,1508,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:14:00,2010-01-24 06:14:00,Week after,63.75,58,1556,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:15:00,2010-01-10 06:15:00,Week before,63.5,54,1580,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:15:00,2010-01-17 06:15:00,Current week,63.0,63,1372,7,0,0
0,2010-01-17 11:51:00,2010-01-17 06:15:00,2010-01-24 06:15:00,Week after,63.75,66,1620,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:16:00,2010-01-10 06:16:00,Week before,63.5,53,1644,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:16:00,2010-01-17 06:16:00,Current week,63.5,58,1628,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:16:00,2010-01-24 06:16:00,Week after,63.5,66,1684,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:17:00,2010-01-10 06:17:00,Week before,63.75,61,1708,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:17:00,2010-01-17 06:17:00,Current week,63.5,63,1692,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:17:00,2010-01-24 06:17:00,Week after,63.75,73,1748,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:18:00,2010-01-10 06:18:00,Week before,63.5,59,1772,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:18:00,2010-01-17 06:18:00,Current week,63.5,65,1756,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:18:00,2010-01-24 06:18:00,Week after,63.5,51,1812,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:19:00,2010-01-10 06:19:00,Week before,63.5,67,1836,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:19:00,2010-01-17 06:19:00,Current week,63.5,60,1589,7,0,0
0,2010-01-17 11:51:00,2010-01-17 06:19:00,2010-01-24 06:19:00,Week after,63.25,51,1876,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:20:00,2010-01-10 06:20:00,Week before,63.75,59,2142,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:20:00,2010-01-17 06:20:00,Current week,63.5,66,1876,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:20:00,2010-01-24 06:20:00,Week after,63.75,52,2187,0,9,0
0,2010-01-17 11:51:00,2010-01-17 06:21:00,2010-01-10 06:21:00,Week before,63.75,61,2223,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:21:00,2010-01-17 06:21:00,Current week,63.75,55,2187,9,0,0
0,2010-01-17 11:51:00,2010-01-17 06:21:00,2010-01-24 06:21:00,Week after,63.5,62,1757,0,7,0
0,2010-01-17 11:51:00,2010-01-17 06:22:00,2010-01-10 06:22:00,Week before,63.5,62,2044,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:22:00,2010-01-17 06:22:00,Current week,63.75,68,2268,9,0,0
0,2010-01-17 11:51:00,2010-01-17 06:22:00,2010-01-24 06:22:00,Week after,63.75,54,2068,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:23:00,2010-01-10 06:23:00,Week before,63.5,57,2108,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:23:00,2010-01-17 06:23:00,Current week,63.75,68,2349,9,0,0
0,2010-01-17 11:51:00,2010-01-17 06:23:00,2010-01-24 06:23:00,Week after,63.5,59,1862,0,7,0
0,2010-01-17 11:51:00,2010-01-17 06:24:00,2010-01-10 06:24:00,Week before,63.75,74,2448,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:24:00,2010-01-17 06:24:00,Current week,63.75,73,2430,9,0,0
0,2010-01-17 11:51:00,2010-01-17 06:24:00,2010-01-24 06:24:00,Week after,96.0,62,1911,0,7,0
0,2010-01-17 11:51:00,2010-01-17 06:25:00,2010-01-10 06:25:00,Week before,63.75,64,2244,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:25:00,2010-01-17 06:25:00,Current week,63.0,46,1946,7,0,0
0,2010-01-17 11:51:00,2010-01-17 06:25:00,2010-01-24 06:25:00,Week after,63.5,65,2244,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:26:00,2010-01-10 06:26:00,Week before,96.75,54,2601,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:26:00,2010-01-17 06:26:00,Current week,63.75,57,2284,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:26:00,2010-01-24 06:26:00,Week after,63.5,58,2016,0,7,0
