vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount

VTS,2010-01-26 07:41:00,2010-01-26 07:45:00,1,0.75,-73.956778,40.767749999999999,1,,-73.965957000000003,40.765231999999997,CAS,4.5,0,0.5,0,0,5
DDS,2010-01-30 23:31:00,2010-01-30 23:46:12,1,5.9000000000000004,-73.996117999999996,40.763931999999997,1,,-73.981511999999995,40.741193000000003,CAS,15.300000000000001,0.5,0.5,0,0,16.300000000000001
DDS,2010-01-18 20:22:20,2010-01-18 20:38:12,1,4,-73.979673000000005,40.783790000000003,1,,-73.917851999999996,40.87856,CAS,11.699999999999999,0.5,0.5,0,0,12.699999999999999
VTS,2010-01-09 01:18:00,2010-01-09 01:35:00,2,4.7000000000000002,-73.977922000000007,40.763997000000003,1,,-73.923907999999997,40.759725000000003,CAS,13.300000000000001,0.5,0.5,0,0,14.300000000000001
CMT,2010-01-18 19:10:14,2010-01-18 19:17:07,1,0.59999999999999998,-73.990924000000007,40.734681999999999,1,0,-73.995510999999993,40.739088000000002,Cre,5.2999999999999998,0,0.5,0.87,0,6.6699999999999999
DDS,2010-01-23 18:40:25,2010-01-23 18:54:51,1,3.2999999999999998,0,0,1,,0,0,CRE,10.5,0,0.5,1,0,12
VTS,2010-01-17 09:18:00,2010-01-17 09:25:00,1,1.3300000000000001,-73.993746999999999,40.754916999999999,1,,-73.984714999999994,40.755927,CAS,6.0999999999999996,0,0.5,0,0,6.5999999999999996
VTS,2010-01-09 13:49:00,2010-01-09 13:56:00,1,1.8300000000000001,-73.971029999999999,40.751306999999997,1,,-73.990560000000002,40.734923000000002,CAS,6.9000000000000004,0,0.5,0,0,7.4000000000000004
VTS,2010-01-09 00:25:00,2010-01-09 00:39:00,1,3.2799999999999998,-73.990037000000001,40.725633000000002,1,,-73.993842000000001,40.761696999999998,CAS,11.300000000000001,0.5,0.5,0,0,12.300000000000001
VTS,2010-01-27 18:15:00,2010-01-27 18:29:00,1,1.4199999999999999,-73.979623000000004,40.743780000000001,1,,-73.989414999999994,40.756788,Cre,8.5,1,0.5,2,0,12
VTS,2010-01-08 16:05:00,2010-01-08 16:13:00,1,0.83999999999999997,-74.000917000000001,40.757280000000002,1,,-73.989767000000001,40.757407000000001,Cre,5.7000000000000002,1,0.5,3,0,10.199999999999999
VTS,2010-01-09 02:07:00,2010-01-09 02:21:00,1,2.7599999999999998,-73.991174999999998,40.728071999999997,1,,-73.979307000000006,40.744219999999999,CAS,10.1,0.5,0.5,0,0,11.1
VTS,2010-01-16 19:04:00,2010-01-16 19:22:00,1,1.52,-73.980985000000004,40.737848,1,,-74.003254999999996,40.738717000000001,CAS,10.5,0,0.5,0,0,11
VTS,2010-01-08 17:15:00,2010-01-08 17:40:00,1,7.1200000000000001,-73.844167999999996,40.721353000000001,1,,-73.931442000000004,40.670684999999999,CAS,19.699999999999999,1,0.5,0,0,21.199999999999999
DDS,2010-01-14 19:23:15,2010-01-14 19:44:25,1,1.3999999999999999,-73.955577000000005,40.772523,1,,-73.991119999999995,40.755462999999999,CAS,9.6999999999999993,1.5,0,0,0,11.199999999999999
DDS,2010-01-06 22:34:49,2010-01-06 22:41:30,1,1.1000000000000001,-74.010253000000006,40.720550000000003,1,,-74.003964999999994,40.715781999999997,CAS,5.7000000000000002,0.5,-1,0,0,6.7000000000000002
DDS,2010-01-20 15:52:26,2010-01-20 16:07:19,1,2,-73.969534999999993,40.800547000000002,1,,-73.942722000000003,40.841572999999997,CRE,8.9000000000000004,0,0.5,1.1000000000000001,0,10.5
DDS,2010-01-22 11:54:52,2010-01-22 11:59:38,1,1.1000000000000001,-73.996835000000004,40.716546999999998,1,,-73.948539999999994,40.795090000000002,CAS,4.9000000000000004,0,0.5,0,0,5.4000000000000004
VTS,2010-01-26 16:59:00,2010-01-26 17:08:00,2,1.3400000000000001,-73.988812999999993,40.736657000000001,1,,-73.980332000000004,40.723987999999999,CAS,6.0999999999999996,1,0.5,0,0,7.5999999999999996
VTS,2010-01-26 12:05:00,2010-01-26 12:16:00,5,1.6399999999999999,-73.990387999999996,40.745829999999998,1,,-74.007801999999998,40.745153000000002,Cre,7.7000000000000002,0,0.5,3,0,11.199999999999999
VTS,2010-01-07 18:51:00,2010-01-07 19:04:00,3,1.8200000000000001,-73.998042999999996,40.741259999999997,1,,-73.984911999999994,40.724134999999997,CAS,8.5,1,0.5,0,0,10
